DOCUMENT ID,RECORD TYPE,REFERENCE BY CRFN ,REFERENCE BY DOC ID,REFERENCE BY REEL YEAR,REFERENCE BY REEL BOROUGH,REFERENCE BY REEL NBR,REFERENCE BY REEL PAGE,GOOD THROUGH DATE
2013081501085004,X,,2013081501085003,0,0,0,0,02/28/2014
2014012700274003,X,,2014012700274002,0,0,0,0,02/28/2014
2014013000727003,X,,2014013000727002,0,0,0,0,02/28/2014
2014012900877006,X,,2014012900877005,0,0,0,0,02/28/2014
2014012000143003,X,,2014012000143002,0,0,0,0,02/28/2014
2014012401257005,X,2005000352109,,0,0,0,0,02/28/2014
2014021100633002,X,2003000512916,,0,0,0,0,02/28/2014
2013122600190002,X,2007000405016,,0,0,0,0,02/28/2014
2013120300279002,X,2006000067070,,0,0,0,0,02/28/2014
2014020400636001,X,2004000219169,,0,0,0,0,02/28/2014
2014022000739006,X,2013000156040,,0,0,0,0,02/28/2014
2014012401121003,X,,2014012401121002,0,0,0,0,02/28/2014
2014012400154002,X,,2014012400154001,0,0,0,0,02/28/2014
2013121901263005,X,,2013121901263004,0,0,0,0,02/28/2014
2014011400099008,X,2004000401131,,0,0,0,0,02/28/2014
2014012801010003,X,2008000090075,,0,0,0,0,02/28/2014
2014012801177006,X,2012000018120,,0,0,0,0,02/28/2014
2014020500548001,X,2006000547484,,0,0,0,0,02/28/2014
2014022000634001,X,2007000139690,,0,0,0,0,02/28/2014
2014020600615001,X,2006000036198,,0,0,0,0,02/28/2014
2014021000649001,X,2013000110238,,0,0,0,0,02/28/2014
2014020700133001,X,2006000022425,,0,0,0,0,02/28/2014
2014020600057001,X,2006000559951,,0,0,0,0,02/28/2014
2014020700227001,X,2008000441856,,0,0,0,0,02/28/2014
2013072201177002,X,2007000058498,,0,0,0,0,02/28/2014
2014010800926002,X,2006000348899,,0,0,0,0,02/28/2014
2013102300907001,X,2004000388085,,0,0,0,0,02/28/2014
2014013100072001,X,2008000122995,,0,0,0,0,02/28/2014
2014011301382001,X,2014000006329,,0,0,0,0,02/28/2014
2013081300227001,X,,,1997,2,1473,1906,02/28/2014
2014013000270003,X,2007000239819,,0,0,0,0,02/28/2014
2014011400410002,X,2014000013774,,0,0,0,0,02/28/2014
2014021901317001,X,2006000575942,,0,0,0,0,02/28/2014
2014011300518001,X,2003000335597,,0,0,0,0,02/28/2014
2014010700496002,X,,,1991,2,1035,308,02/28/2014
2014012901107001,X,2012000274977,,0,0,0,0,02/28/2014
2014022601302001,X,2006000311317,,0,0,0,0,02/28/2014
2014022100590001,X,2007000354616,,0,0,0,0,02/28/2014
2014012700177001,X,2013000000869,,0,0,0,0,02/28/2014
2014021900859005,X,,,1984,1,817,958,02/28/2014
2014022100436001,X,2004000469958,,0,0,0,0,02/28/2014
2014021700677001,X,2007000542995,,0,0,0,0,02/28/2014
2014022601167002,X,,,1995,4,4074,385,02/28/2014
2014022600664001,X,2006000085767,,0,0,0,0,02/28/2014
2014022601184001,X,2005000481201,,0,0,0,0,02/28/2014
2014022600440001,X,2004000321439,,0,0,0,0,02/28/2014
2014022600473001,X,2004000546927,,0,0,0,0,02/28/2014
2014022600288001,X,2008000038803,,0,0,0,0,02/28/2014
2014022000038002,X,2007000109928,,0,0,0,0,02/28/2014
2013121800323001,X,2012000064969,,0,0,0,0,02/28/2014
2014012900719002,X,2006000339897,,0,0,0,0,02/28/2014
2014022100100001,X,2009000187455,,0,0,0,0,02/28/2014
2014020700507001,X,,,1986,1,1053,297,02/28/2014
2014022501147001,X,2004000615821,,0,0,0,0,02/28/2014
2014012800149005,X,,2014012800149004,0,0,0,0,02/28/2014
2014021800873001,X,2004000387505,,0,0,0,0,02/28/2014
2014021800644001,X,2007000136129,,0,0,0,0,02/28/2014
2014020700797001,X,,,1999,1,2936,2384,02/28/2014
2014021300491001,X,2004000047875,,0,0,0,0,02/28/2014
2014022601084001,X,2005000271700,,0,0,0,0,02/28/2014
2014021800688001,X,2005000650544,,0,0,0,0,02/28/2014
2014021900381001,X,2007000419907,,0,0,0,0,02/28/2014
2014022600752001,X,2004000481779,,0,0,0,0,02/28/2014
2014020601460001,X,,,1987,2,783,2376,02/28/2014
2014021800954001,X,2006000665590,,0,0,0,0,02/28/2014
2014021900439009,X,,2014021900439008,0,0,0,0,02/28/2014
2014021800100001,X,2004000760501,,0,0,0,0,02/28/2014
2014021400110005,X,,2014021400110004,0,0,0,0,02/28/2014
2014021900384001,X,2005000569641,,0,0,0,0,02/28/2014
2014021700316001,X,2005000319769,,0,0,0,0,02/28/2014
2014021100650002,X,2003000495313,,0,0,0,0,02/28/2014
2014012900915002,X,2010000024974,,0,0,0,0,02/28/2014
2014021901019004,X,,2014021901019002,0,0,0,0,02/28/2014
2014020300629002,X,2010000228908,,0,0,0,0,02/28/2014
2014021700666001,X,2005000474445,,0,0,0,0,02/28/2014
2014022100564002,X,2006000101294,,0,0,0,0,02/28/2014
2014020700939001,X,2006000316941,,0,0,0,0,02/28/2014
2014022501076003,X,2011000435695,,0,0,0,0,02/28/2014
2014021800628001,X,2006000390579,,0,0,0,0,02/28/2014
2014022501076004,X,2011000435695,,0,0,0,0,02/28/2014
2014021901019008,X,,2014021901019006,0,0,0,0,02/28/2014
2014022100461002,X,2013000522904,,0,0,0,0,02/28/2014
2014021200992004,X,2014000010761,,0,0,0,0,02/28/2014
2014022400512005,X,2013000270167,,0,0,0,0,02/28/2014
2014021100864004,X,2013000434648,,0,0,0,0,02/28/2014
2014022400050002,X,2014000037159,,0,0,0,0,02/28/2014
2014020500495002,X,,,1998,3,4345,458,02/28/2014
2014013000625002,X,2010000155164,,0,0,0,0,02/28/2014
2014013000873006,X,2010000284335,,0,0,0,0,02/28/2014
2014013100159008,X,2010000368699,,0,0,0,0,02/28/2014
2014012901155006,X,2010000135228,,0,0,0,0,02/28/2014
2014013100159010,X,2010000214473,,0,0,0,0,02/28/2014
2014013000873008,X,2010000206571,,0,0,0,0,02/28/2014
2014013100159002,X,2010000317100,,0,0,0,0,02/28/2014
2014013000873010,X,2010000308980,,0,0,0,0,02/28/2014
2014013000625004,X,2010000206908,,0,0,0,0,02/28/2014
2014013100606002,X,2010000050028,,0,0,0,0,02/28/2014
2014013100606010,X,2010000275357,,0,0,0,0,02/28/2014
2014013100606004,X,2010000255649,,0,0,0,0,02/28/2014
2014013000625006,X,2010000194044,,0,0,0,0,02/28/2014
2014010800689001,X,2006000106773,,0,0,0,0,02/28/2014
2014013000625008,X,2010000201447,,0,0,0,0,02/28/2014
2014021100684002,X,2003000469333,,0,0,0,0,02/28/2014
2014021700096002,X,,,2002,4,6648,342,02/28/2014
2014021900879008,X,2013000499291,,0,0,0,0,02/28/2014
2014013100319008,X,2010000229941,,0,0,0,0,02/28/2014
2014012900965006,X,2010000114193,,0,0,0,0,02/28/2014
2014013100319010,X,2010000285826,,0,0,0,0,02/28/2014
2014021400977004,X,,2014021400977002,0,0,0,0,02/28/2014
2014013100319002,X,2010000167216,,0,0,0,0,02/28/2014
2014021201197002,X,2005000048727,,0,0,0,0,02/28/2014
2014021100779002,X,2007000229867,,0,0,0,0,02/28/2014
2014021200446002,X,2008000357605,,0,0,0,0,02/28/2014
2014021800551002,X,2013000316476,,0,0,0,0,02/28/2014
2014021800010002,X,2011000366562,,0,0,0,0,02/28/2014
2014020700259002,X,,,2001,3,5093,879,02/28/2014
2014021101373002,X,,,1998,1,2731,2213,02/28/2014
2014011501458002,X,2013000420029,,0,0,0,0,02/28/2014
2014021100706002,X,,,2003,4,6721,410,02/28/2014
2014021000944002,X,2007000538573,,0,0,0,0,02/28/2014
2014021000696002,X,2007000513507,,0,0,0,0,02/28/2014
2014021000893002,X,2007000513739,,0,0,0,0,02/28/2014
2014021200137002,X,2007000521478,,0,0,0,0,02/28/2014
2014021000621002,X,2008000001033,,0,0,0,0,02/28/2014
2014021200207001,X,,,2000,1,3199,437,02/28/2014
2014021001522002,X,,,2002,1,3665,2488,02/28/2014
2014021100733002,X,2007000048438,,0,0,0,0,02/28/2014
