DOCUMENT ID,RECORD TYPE,BOROUGH,BLOCK,LOT,EASEMENT,PARTIAL LOT,AIR RIGHTS,SUBTERRANEAN RIGHTS,PROPERTY TYPE,STREET NUMBER,STREET NAME,UNIT,GOOD THROUGH DATE
2014020700737005,L,4,7880,103,N,E,N,N,D2,82-86,COUNTRY POINTE CIRCLE,,02/28/2014
2014021100324003,L,3,1042,29,N,E,N,N,D1,298,14TH STREET,,02/28/2014
2014021101088002,L,1,1115,1817,N,E,N,N,SC,30,WEST 63RD   STREET,14K,02/28/2014
2014021100297006,L,1,1386,1011,N,E,N,N,SC,50,EAST 72ND   STREET,3D,02/28/2014
2014021400610001,L,4,2817,22,N,E,N,N,D1,57-32,79TH   STREET,,02/28/2014
2014011401286001,L,4,2079,1,N,E,N,N,OF,95-25,QUEENS BOULEVARD,,02/28/2014
2014021400607008,L,3,3037,26,N,E,N,N,D6,268,STAGG STREET,,02/28/2014
2014021400607008,L,3,3208,7,N,E,N,N,D6,147,CENTRAL AVENUE,,02/28/2014
2013123100157002,L,2,5052,11,N,E,N,N,RP,4316,WICKHAM,,02/28/2014
2014021800152002,L,4,9105,44,N,E,N,N,D1,101-55,98TH   STREET,,02/28/2014
2014020300991003,L,1,1132,1048,N,E,N,N,SC,161,WEST 61ST   STREET,9A,02/28/2014
2014021001349002,L,1,717,9,N,E,N,N,AP,453,WEST 19TH   STREET,,02/28/2014
2014020300141002,L,3,8663,359,N,E,N,N,D1,49,BRIGHTON 3 COURT,,02/28/2014
2014021300857002,L,3,5328,1026,N,E,N,N,SC,150,OCEAN PARKWAY,6C,02/28/2014
2014012400271001,L,3,8626,43,N,E,N,N,D1,55,BARLOW DRIVE NORTH,,02/28/2014
2014011301632017,L,3,1896,21,N,E,N,N,AP,159,CLASSON AVENUE,,02/28/2014
2014011301632014,L,3,1896,28,N,E,N,N,AP,145,CLASSON AVENUE,,02/28/2014
2014022400236003,L,3,5416,1,N,E,N,N,D6,119,WEBSTER AVE,,02/28/2014
2014022100626003,L,3,1966,33,N,E,N,N,CR,N/A,GREENE AVENUE,,02/28/2014
2014022000071002,L,3,1437,15,N,E,N,N,CR,2416,ATLANTIC AVENUE,,02/28/2014
2014022000778003,L,2,3838,159,N,E,N,N,CR,1170,COMMERCE AVENUE,,02/28/2014
2014022001462007,L,3,1878,22,N,E,N,N,CR,11,GRAND AVENUE,,02/28/2014
2014021000578002,L,3,7296,64,N,E,N,N,D6,1961,EAST 17TH STREET,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,2306,ALBEMARLE ROAD,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,2,OAKLAND PLACE,,02/28/2014
2014021900703006,L,3,5127,5,N,E,N,N,AP,12,OAKLAND PLACE,,02/28/2014
2014021100460002,L,3,642,40,N,E,N,N,F1,704,4 AVENUE,,02/28/2014
2014021100460002,L,3,1006,65,N,E,N,N,D2,397,9 STREET,,02/28/2014
2014021900309003,L,3,2463,30,N,E,N,N,CR,385,BROADWAY,,02/28/2014
2014021201042003,L,3,1735,5,N,E,N,N,CR,520,PARK AVENUE,,02/28/2014
2014021800222004,L,4,3608,22,N,E,N,N,CR,62-65,FRESH POND ROAD,,02/28/2014
2014021800521003,L,3,847,6,N,E,N,N,F4,5707,4 AVENUE,,02/28/2014
2014021200425004,L,3,2593,18,N,E,N,N,AP,108,CALYER STREET,,02/28/2014
2014021200943003,L,3,3106,28,N,E,N,N,VN,103,VARET STREET,,02/28/2014
2014021300146006,L,3,1354,30,N,E,N,N,CR,1552,BERGEN STREET,,02/28/2014
2014022001261002,L,4,8847,357,N,E,N,N,AP,86-02,FOREST PARKWAY,,02/28/2014
2014013100880002,L,3,417,21,N,E,N,N,OT,210,DOUGLASS STREET,,02/28/2014
2014010900665003,L,3,2504,66,N,E,N,N,D6,113,FREEMAN STREET,,02/28/2014
2014022000878003,L,2,3284,40,N,E,N,N,AP,355,OLIVER PLACE,,02/28/2014
2014022000334002,L,3,7325,54,N,E,N,N,RP,2531,OCEAN AVENUE,,02/28/2014
2014021900547006,L,1,1077,9,N,E,N,N,CR,N/A,WEST 48TH   STREET,,02/28/2014
2014021900547006,L,1,1077,55,N,E,N,N,AP,540,WEST 49TH   STREET,,02/28/2014
2014021000122006,L,4,3347,24,N,E,N,N,CR,118-02,QUEENS BOULEVARD,,02/28/2014
2014012100675004,L,1,2180,497,N,E,N,N,AP,195,BENNETT AVENUE,,02/28/2014
2014020600919004,L,1,1185,47,N,E,N,N,AP,42,RIVERSIDE DRIVE,,02/28/2014
2014021000472003,L,3,646,40,N,E,N,N,AP,708,5 AVENUE,,02/28/2014
2014020500363004,L,3,2356,1,N,E,N,N,VN,38,NORTH 3RD ST,,02/28/2014
2014021800271003,L,2,3075,29,N,E,N,N,CR,655,EAST 187TH STREET,,02/28/2014
2014021400977002,L,1,744,3,N,E,N,N,AP,360,WEST 21ST STREET,,02/28/2014
2014021400704002,L,2,3212,82,N,E,N,N,AP,2395,GRAND AVENUE,,02/28/2014
2013121700896005,L,2,3273,312,N,E,N,N,D5,2534,BATHGATE AVENUE,,02/28/2014
2014021400785002,L,1,1392,40,N,E,N,N,CR,876,PARK AVENUE,,02/28/2014
2014021200944004,L,3,590,1,N,E,N,N,CR,41,OTSEGO STREET,,02/28/2014
2014021200944004,L,3,600,19,N,E,N,N,VN,N/A,OTSEGO STREET,,02/28/2014
2014013101089001,L,1,841,58,N,E,N,N,CR,14,WEST 40TH   STREET,,02/28/2014
2014011301382001,L,4,1933,1001,N,E,N,N,SC,102-18,RADCLIFF AVENUE,1F,02/28/2014
2014011301382001,L,4,1933,1005,N,E,N,N,SC,102-18,RADCLIFF AVENUE,3R,02/28/2014
2014011301382001,L,4,1933,1007,N,E,N,N,SC,102-18,RADCLIFF AVENUE,4R,02/28/2014
2014011400410002,L,3,1167,1034,N,E,N,N,SC,475,STERLING PLACE,4F,02/28/2014
2013022100514003,L,1,1945,1130,N,E,N,N,D1,309,WEST 118 STREET,1FTPL,02/28/2014
2014013101002001,L,1,1378,21,N,E,N,N,CR,711,MADISON AVENUE,,02/28/2014
2014020400736001,L,1,1326,19,N,E,N,N,AP,247,EAST 52ND   STREET,,02/28/2014
2014022601293001,L,4,910,13,N,E,N,N,AP,26-19,3 STREET,,02/28/2014
2014022601283001,L,4,716,13,N,E,N,N,D6,25-79,45TH   STREET,,02/28/2014
2013072201177002,L,1,1833,4033,N,E,N,N,SC,400,CENTRAL PARK WEST,2R,02/28/2014
2014021300638001,L,4,12523,70,N,E,N,N,D2,174-53,128TH   AVENUE,,02/28/2014
2014021200125002,L,3,5662,1002,N,E,N,N,CR,5220,13TH   AVENUE,2,02/28/2014
2014021200125001,L,3,5662,1002,N,E,N,N,CR,5220,13TH   AVENUE,2,02/28/2014
2014022501074001,L,3,236,112,N,E,N,N,AP,70,CLARK STREET,62,02/28/2014
2014012900719002,L,3,5382,1301,N,E,N,N,SC,1640,40TH   STREET,1,02/28/2014
2014022601125001,L,4,13468,9,N,E,N,N,D1,220-03,146TH   AVENUE,,02/28/2014
2014022500850001,L,3,5868,60,N,E,N,N,AP,6925,SHORE ROAD,,02/28/2014
2014012800149005,L,1,1027,1734,N,P,N,N,TS,870,7 AVENUE,233,02/28/2014
2014012800149005,L,1,1027,1737,N,P,N,N,TS,870,7 AVENUE,236,02/28/2014
2014022000649001,L,1,1336,1034,N,E,N,N,SC,303,EAST 43RD   STREET,12C,02/28/2014
2014022500398002,L,1,1903,157,N,E,N,N,D4,154,WEST 119TH STREET,,02/28/2014
2014021300496001,L,1,915,54,N,E,N,N,D4,214,EAST 35TH   STREET,,02/28/2014
2014021800636001,L,4,1373,87,N,E,N,N,RP,25-27,99TH   STREET,,02/28/2014
2014022601009001,L,4,1472,34,N,E,N,N,AP,37-56,85TH   STREET,,02/28/2014
2014021800652001,L,4,4985,40,N,E,N,N,RP,33-32,147TH   STREET,,02/28/2014
2014021700672001,L,2,4631,28,N,E,N,N,RP,3387,WALLACE AVE,,02/28/2014
2014021700304001,L,2,5019,14,N,E,N,N,RP,4221,BAYCHESTER AVENUE,,02/28/2014
2014022100564002,L,1,1409,43,N,E,N,N,AP,188,EAST 75TH   STREET,24,02/28/2014
2014020700939001,L,3,1838,84,N,E,N,N,D2,107,HALSEY STREET,,02/28/2014
2014021800949001,L,2,5856,374,N,E,N,N,RP,5732,POST ROAD,,02/28/2014
2014021800628001,L,4,11736,62,N,E,N,N,RP,133-48,116TH   STREET,,02/28/2014
2014022100145001,L,1,1904,1002,N,E,N,N,SC,107,WEST 119 STREET,B,02/28/2014
2014022501076002,L,2,3054,6,N,E,N,N,AP,2356,LORILLARD PLACE,,02/28/2014
2014021900958001,L,4,11988,17,N,E,N,N,RP,115-30,145TH   STREET,,02/28/2014
2014021801043001,L,4,11788,26,N,E,N,N,RP,133-17,129TH   STREET,,02/28/2014
2013050600246001,L,1,1833,2084,N,E,N,N,SC,372,CENTRAL PARK WEST,4Y,02/28/2014
2014021900062005,L,1,1027,1141,N,P,N,N,TS,870,7 AVENUE,TIM16,02/28/2014
2014021900062005,L,1,1027,1377,N,P,N,N,TS,870,7 AVENUE,1215,02/28/2014
2014022600825001,L,4,624,52,N,E,N,N,AP,31-24,35TH   STREET,,02/28/2014
2014012901296001,L,1,209,19,N,E,N,N,CR,138,LAFAYETTE STREET,,02/28/2014
2014012901281001,L,1,209,19,N,E,N,N,CR,138,LAFAYETTE STREET,,02/28/2014
2014020701175001,L,3,7954,59,N,E,N,N,NA,731,EAST 58th   STREET,,02/28/2014
2014020701121001,L,3,8079,44,N,E,N,N,NA,8818,AVENUE M,,02/28/2014
2014020700951001,L,4,13690,59,N,E,N,N,NA,259-50,149th   AVENUE,,02/28/2014
2014012900782001,L,3,8199,58,N,E,N,N,D2,1224,E 92ND STREET,,02/28/2014
2014011301589001,L,4,8917,21,N,E,N,N,D1,80-62,87TH   ROAD,,02/28/2014
2014011501469004,L,4,1120,12,N,E,N,N,D2,30-04,72ND   STREET,,02/28/2014
2014020301108001,L,3,1131,1024,N,E,N,N,SC,35,UNDERHILL AVENUE,A6A,02/28/2014
2014020300979001,L,3,8064,19,N,E,N,N,D2,1239,EAST 85TH   STREET,,02/28/2014
2014012300250001,L,4,7980,46,N,E,N,N,D1,88-44,242ND STREET,,02/28/2014
2014020400151001,L,1,875,3,N,E,N,N,AP,239,PARK AVENUE SOUTH,,02/28/2014
2014020600550001,L,4,11280,78,N,E,N,N,RP,21616,115TH AVE,,02/28/2014
2014020700568001,L,3,1251,53,N,E,N,N,D2,39,HAMPTON PLACE,,02/28/2014
2014020700828001,L,2,5535,40,N,E,N,N,NA,2777,BARKLEY AVENUE,,02/28/2014
2014020600562001,L,1,936,2106,N,E,N,N,SC,343,EAST 30TH   STREET,8-G,02/28/2014
2014020301147001,L,1,1125,1218,N,E,N,N,SC,27,WEST 72ND   STREET,210,02/28/2014
2014020301142001,L,1,625,1114,N,E,N,N,SC,299,WEST 12TH   STREET,11C,02/28/2014
2014012700962001,L,4,9335,93,N,E,N,N,D2,87-19,126TH STREET,,02/28/2014
2014020700766001,L,4,10251,82,N,E,N,N,NA,107-23,FERN PLACE,,02/28/2014
2014020300531001,L,3,3927,40,N,E,N,N,D1,84,ESSEX STREET,,02/28/2014
2013112700306001,L,3,4611,18,N,E,N,N,D4,138,E 93RD STREET,,02/28/2014
2014013000870001,L,3,8595,67,N,E,N,N,RP,2269,NATIONAL DRIVE,,02/28/2014
2014020401243001,L,3,3378,118,N,E,N,N,D2,1410A,PUTNAM,,02/28/2014
2014013100517001,L,3,1522,30,N,E,N,N,D2,494,MARION STREET,,02/28/2014
2014020700490001,L,4,16156,94,N,E,N,N,NA,209A,BEACH 100 STREET,,02/28/2014
2014013100801001,L,3,4707,31,N,E,N,N,OT,85,EAST 59TH   STREET,,02/28/2014
2014011701194001,L,3,4121,63,N,E,N,N,D1,135,LINCOLN AVENUE,,02/28/2014
2014020300353002,L,4,9609,37,N,E,N,N,D1,107-27,129TH   STREET,,02/28/2014
2014020300353001,L,4,9609,37,N,E,N,N,D1,107-27,129TH   STREET,,02/28/2014
2013121600109001,L,1,793,1157,N,E,N,N,SC,124,WEST 18TH   STREET,7,02/28/2014
2013112101183002,L,4,12902,11,N,E,N,N,D1,130-51,224TH   STREET,,02/28/2014
2014020700081001,L,3,1670,24,N,E,N,N,NA,432,MACON STREET,,02/28/2014
2014013000098001,L,3,963,1103,N,E,N,N,SC,159,GARFIELD PLACE,2L,02/28/2014
2012101800922001,L,1,602,1027,N,E,N,N,SC,1,MORTON SQUARE,5D W,02/28/2014
2014020500381002,L,1,1207,49,N,E,N,N,D1,46,WEST 94TH   STREET,,02/28/2014
2014020500284001,L,3,7901,22,N,E,N,N,VR,N/A,EAST 56TH   STREET,,02/28/2014
2014012800406001,L,4,9554,19,N,E,N,N,D3,103-28,117TH STREET,,02/28/2014
2014013001004001,L,1,795,1108,N,E,N,N,SC,130,WEST 20TH   STREET,3B,02/28/2014
2014011400263001,L,1,1888,1136,N,E,N,N,SC,817,WEST END AVENUE,6B,02/28/2014
2014021900188003,L,4,3076,46,N,E,N,N,RP,61-21,BOOTH STREET,,02/28/2014
2014021900188002,L,4,8643,16,N,E,N,N,RP,87-21,250TH   STREET,,02/28/2014
2014022600267001,L,4,11955,55,N,E,N,N,D2,111-11,139TH   STREET,,02/28/2014
2013100800979001,L,4,10047,18,N,E,N,N,D2,105-22,PRINCETON STREET,,02/28/2014
2014022501143001,L,2,4562,47,N,E,N,N,D2,2941,THROOP AVENUE,,02/28/2014
2014021900800001,L,2,5053,65,N,E,N,N,D1,4341,ELY AVENUE,,02/28/2014
2014021200875001,L,4,2980,177,N,E,N,N,D2,63-17,71ST   STREET,,02/28/2014
2014021700378001,L,3,8238,135,N,E,N,N,RP,9204,AVENUE K,,02/28/2014
2014021900033002,L,2,3271,185,N,E,N,N,AP,3801,REVIEW PLACE,,02/28/2014
2014021900033001,L,2,3271,227,N,E,N,N,AP,3805,REVIEW PLACE,,02/28/2014
2014022101245001,L,4,10405,51,N,E,N,N,D1,114-11,DUNKIRK STREET,,02/28/2014
2014021300729001,L,3,8252,41,N,E,N,N,D2,10559,FLATLANDS 4 STREET,,02/28/2014
2014022501206001,L,3,2392,22,N,E,N,N,AP,158,GRAND STREET,,02/28/2014
2014022501100001,L,3,1511,56,N,E,N,N,D3,539,CHAUNCEY STREET,,02/28/2014
2014021500018001,L,3,8078,14,N,E,N,N,D3,1373,E 87TH ST,,02/28/2014
2014022100905001,L,4,5773,168,N,E,N,N,D2,169-17,26TH   AVENUE,,02/28/2014
2014021800233001,L,4,13283,171,N,E,N,N,D1,168-08,144TH   DRIVE,,02/28/2014
2014021400477001,L,3,3929,46,N,E,N,N,D1,112,HIGHLAND PLACE,,02/28/2014
2014021901141001,L,4,731,71,N,E,N,N,RP,25-64,48TH   STREET,,02/28/2014
2014021901109001,L,4,11073,114,N,E,N,N,RP,116-33,201ST   STREET,,02/28/2014
2014022501017001,L,4,1569,21,N,E,N,N,D1,42-26,GLEANE STREET,,02/28/2014
2014021800080003,L,2,3248,136,N,E,N,N,AP,125,WEST KINGSBRIDGE RD,,02/28/2014
2014021901180001,L,4,9430,58,N,E,N,N,RP,101-37,112TH   STREET,,02/28/2014
2014022500746001,L,3,309,41,N,E,N,N,AP,107,KANE STREET,7,02/28/2014
2014022001184001,L,3,6716,5,N,E,N,N,OF,1412,AVENUE J,,02/28/2014
2014021801064002,L,3,4893,22,N,E,N,N,RP,282,EAST 40TH   STREET,,02/28/2014
2014021200214001,L,1,714,1132,N,E,N,N,SC,450,WEST 17TH   STREET,2009,02/28/2014
2014022500936001,L,2,4054,51,N,E,N,N,AP,814,RHINELANDER AVENUE,,02/28/2014
2014013001161001,L,3,7063,4,N,E,N,N,CR,1518,MERMAID AVENUE,,02/28/2014
2014013001161001,L,3,6997,105,N,E,N,N,D2,1411,NEPTUNE AVENUE,,02/28/2014
2014013001161001,L,3,7062,7,N,E,N,N,CR,1614,MERMAID AVENUE,,02/28/2014
2014013001161001,L,3,7061,4,N,E,N,N,CR,1720,MERMAID AVENUE,,02/28/2014
2013121800402001,L,1,531,1040,N,E,N,N,SC,692,BROADWAY,806,02/28/2014
2014021901156001,L,4,12144,144,N,E,N,N,D2,153-17,109TH   DRIVE,,02/28/2014
2014021800367001,L,2,4522,26,N,E,N,N,OT,2766,YATES AVE,,02/28/2014
2014021800466002,L,4,16005,6,N,E,N,N,OT,N/A,DE COSTA AVENUE,,02/28/2014
2014020601585001,L,3,7560,71,N,E,N,N,NA,1650,NEW YORK AVENUE,,02/28/2014
2014012800147001,L,4,12629,1,N,E,N,N,AP,11807,200TH STREET,,02/28/2014
2014012800142001,L,4,11348,4,N,E,N,N,D1,85-08,SUTTER AVENUE,,02/28/2014
2013121800757002,L,3,8067,65,N,E,N,N,D2,1264,EAST 89TH   STREET,,02/28/2014
2014020700107001,L,4,7089,41,N,E,N,N,D1,65-36,183rd   STREET,,02/28/2014
2014020601477001,L,3,245,1162,N,E,N,N,D1,360,FURMAN STREET,606,02/28/2014
2014011700871005,L,3,4250,51,N,E,N,N,D4,1273,SUTTER AVENUE,,02/28/2014
2014010701237004,L,4,10636,54,N,E,N,N,D1,91-18,213TH   STREET,,02/28/2014
2013112601296001,L,2,5055,69,N,E,N,N,D1,4323,EDSON AVENUE,,02/28/2014
2014013000309001,L,3,892,72,N,E,N,N,D1,317A,21ST   STREET,,02/28/2014
2014020601588001,L,4,13711,55,N,E,N,N,NA,147-39,230th   PLACE,,02/28/2014
2014020601204003,L,3,3514,130,N,E,N,N,D1,29,LEGION STREET,,02/28/2014
2014020301061003,L,1,1560,28,N,E,N,N,AP,1531,YORK AVENUE,,02/28/2014
2014020301061002,L,1,1560,28,N,E,N,N,AP,1531,YORK AVENUE,,02/28/2014
2014020601481001,L,4,1048,70,N,E,N,N,NA,25-05,71st   STREET,,02/28/2014
2014011400172003,L,4,9855,29,N,E,N,N,D2,165-33,85TH AVENUE,,02/28/2014
2014012801358001,L,3,5355,75,N,E,N,N,D3,401,EAST 3RD   STREET,,02/28/2014
2014020600917001,L,3,4236,32,N,E,N,N,D1,554,AUTUMN AVENUE,,02/28/2014
2014013100662001,L,3,1974,1065,N,E,N,N,SC,315,GATES AVENUE,5P,02/28/2014
2013122600127001,L,3,2297,1009,N,E,N,N,SC,55,BERRY STREET,1I,02/28/2014
2014020600490005,L,1,1027,1328,N,E,N,N,TS,870,7 AVENUE,1620,02/28/2014
2014011400959001,L,3,4353,7,N,E,N,N,CR,2096-2106,LINDEN BOULEVARD,,02/28/2014
2014020400678001,L,3,7201,14,N,E,N,N,RP,84,OCEAN COURT,,02/28/2014
2014012200866001,L,3,1202,66,N,E,N,N,D3,1395,PACIFIC STREET,,02/28/2014
2014013100131001,L,4,2171,37,N,E,N,N,D1,64-42,110TH   STREET,,02/28/2014
